Source,Target,Type,Id,Label,Weight
42460415,42504555,Undirected,229,,1
42460417,42500835,Undirected,231,,2
42460417,42472071,Undirected,232,,2
42460417,42472067,Undirected,233,,2
42460425,42494003,Undirected,234,,2
42460425,42493998,Undirected,235,,2
42460427,42460425,Undirected,236,,1
42460427,42522358,Undirected,237,,2
42460427,42501034,Undirected,238,,2
42460428,42460427,Undirected,239,,1
42460428,42501034,Undirected,240,,2
42460428,42501036,Undirected,241,,2
42460434,42460428,Undirected,242,,1
42460438,12452901922,Undirected,243,,1
42460438,5554352645,Undirected,244,,1
42460441,42460438,Undirected,245,,1
42460441,42522247,Undirected,246,,2
42460441,42529314,Undirected,247,,2
42460444,42460441,Undirected,248,,1
42460444,42522250,Undirected,249,,2
42460444,42529318,Undirected,250,,2
42460447,42460444,Undirected,251,,1
42460447,42460498,Undirected,252,,2
42460447,42518845,Undirected,253,,2
42460447,42518853,Undirected,254,,2
42460498,42495470,Undirected,255,,2
42460498,42495466,Undirected,256,,2
42460498,42460545,Undirected,257,,2
42460545,42497094,Undirected,259,,2
42460545,42497091,Undirected,260,,2
42460545,42460558,Undirected,261,,2
42460558,42518643,Undirected,263,,2
42460558,42518640,Undirected,264,,2
42460558,42460562,Undirected,265,,2
42460562,42489440,Undirected,267,,2
42460562,42489442,Undirected,268,,2
42460574,42460576,Undirected,270,,1
42460574,42475535,Undirected,271,,2
42460574,42487270,Undirected,272,,2
42460576,42460579,Undirected,273,,1
42460576,42467317,Undirected,274,,2
42460576,42467313,Undirected,275,,2
42460579,42460582,Undirected,276,,1
42460579,42475538,Undirected,277,,2
42460579,42487271,Undirected,278,,2
42460582,42460583,Undirected,279,,1
42460582,42475541,Undirected,280,,2
42460582,42487273,Undirected,281,,2
42460583,42487276,Undirected,282,,2
42460583,42475544,Undirected,283,,2
42460586,5513744746,Undirected,284,,1
42460586,42475371,Undirected,285,,2
42460586,42487301,Undirected,286,,2
42460587,42460586,Undirected,287,,1
42460587,42475374,Undirected,288,,2
42460587,42487303,Undirected,289,,2
42460589,42460587,Undirected,290,,1
42460589,42475377,Undirected,291,,2
42460589,42487305,Undirected,292,,2
42460589,42460591,Undirected,293,,1
42460591,2317435486,Undirected,294,,1
42460591,42460592,Undirected,295,,1
42460592,2317435475,Undirected,296,,1
42460593,2317435475,Undirected,297,,2
42460593,2317435465,Undirected,298,,2
42460593,10008773731,Undirected,299,,2
42460593,42511753,Undirected,300,,2
42460594,2317435465,Undirected,301,,1
42460595,42523347,Undirected,302,,2
42460595,42493137,Undirected,303,,2
42460595,42460594,Undirected,304,,1
42460598,42460599,Undirected,305,,1
42460598,42475341,Undirected,306,,2
42460598,7359964632,Undirected,307,,2
42460599,42460600,Undirected,308,,1
42460599,42475343,Undirected,309,,2
42460599,2571516523,Undirected,310,,2
42460600,42460602,Undirected,311,,1
42460600,42475346,Undirected,312,,2
42460600,42487283,Undirected,313,,2
42460602,42460603,Undirected,314,,1
42460602,42475350,Undirected,315,,2
42460602,42487284,Undirected,316,,2
42460603,42460605,Undirected,317,,1
42460603,42475353,Undirected,318,,2
42460603,42487285,Undirected,319,,2
42460605,42460606,Undirected,320,,1
42460605,42475356,Undirected,321,,2
42460605,42487287,Undirected,322,,2
42460606,42487290,Undirected,323,,2
42460606,5513744742,Undirected,324,,2
42460607,42527371,Undirected,325,,2
42460607,42527722,Undirected,326,,1
42460608,42527722,Undirected,327,,2
42460608,42460607,Undirected,328,,1
42460608,42505779,Undirected,329,,2
42460610,9692804243,Undirected,330,,2
42460610,42493927,Undirected,331,,2
42460611,42479176,Undirected,332,,1
42460611,42460610,Undirected,333,,1
42460617,42470075,Undirected,334,,1
42460617,42460611,Undirected,335,,1
42460619,42460617,Undirected,336,,1
42460619,42509396,Undirected,337,,1
42460622,42460619,Undirected,338,,1
42460622,42470082,Undirected,339,,2
42460622,42516672,Undirected,340,,2
42460636,42505589,Undirected,341,,2
42460636,42505584,Undirected,342,,2
42460636,42460622,Undirected,343,,1
42460654,6545280301,Undirected,344,,2
42460654,42465016,Undirected,345,,2
42460657,6545280306,Undirected,346,,2
42460657,42499527,Undirected,347,,2
42460660,42460657,Undirected,348,,1
42460660,42485061,Undirected,349,,2
42460660,42470090,Undirected,350,,2
42460674,42478848,Undirected,351,,2
42460674,42512745,Undirected,352,,2
42460681,42478851,Undirected,353,,1
42460681,42460674,Undirected,354,,1
42460684,42460681,Undirected,355,,1
42460684,42520344,Undirected,356,,2
42460684,42491715,Undirected,357,,2
42460684,42478853,Undirected,358,,2
42460694,2806745706,Undirected,359,,2
42460694,2806745709,Undirected,360,,2
42460694,9650484400,Undirected,361,,2
42460694,42475569,Undirected,362,,2
42460695,42479204,Undirected,363,,2
42460695,42475566,Undirected,364,,2
42460695,42460698,Undirected,365,,2
42460695,2806745709,Undirected,366,,2
42460698,42460701,Undirected,367,,2
42460701,42479201,Undirected,369,,2
42460701,42460717,Undirected,370,,2
42460701,42460705,Undirected,371,,2
42460705,42479194,Undirected,373,,2
42460714,1942055211,Undirected,375,,2
42460714,42486285,Undirected,376,,2
42460715,42460714,Undirected,377,,1
42460715,42486287,Undirected,378,,2
42460715,42479194,Undirected,379,,2
42460717,42460698,Undirected,380,,1
42460717,42486294,Undirected,381,,2
42460717,42460715,Undirected,383,,1
42460722,42492809,Undirected,384,,2
42460722,4729788362,Undirected,385,,2
42460723,42492810,Undirected,386,,2
42460723,42460722,Undirected,387,,1
42460723,4729745527,Undirected,388,,2
42460725,42492813,Undirected,389,,2
42460725,42460723,Undirected,390,,1
42460725,4729784495,Undirected,391,,2
42460729,42474713,Undirected,392,,2
42460729,42460725,Undirected,393,,1
42460729,4203227199,Undirected,394,,2
42460737,42492817,Undirected,395,,2
42460737,42460729,Undirected,396,,1
42460737,4203227200,Undirected,397,,2
42460740,42460737,Undirected,398,,1
42460740,4203227201,Undirected,399,,1
42460762,42460764,Undirected,400,,2
42460762,42521331,Undirected,401,,1
42460776,42460787,Undirected,403,,1
42460776,42487360,Undirected,404,,1
42460787,42477180,Undirected,405,,1
42460787,598357916,Undirected,406,,1
42460787,42460801,Undirected,407,,1
42460801,42460806,Undirected,408,,1
42460801,42477186,Undirected,409,,1
42460806,42460809,Undirected,410,,1
42460809,42477193,Undirected,411,,1
42460809,42460816,Undirected,412,,1
42460816,42477196,Undirected,413,,1
42460816,42461045,Undirected,414,,1
42460816,598357877,Undirected,415,,2
42460821,42465590,Undirected,416,,1
42460821,42462000,Undirected,417,,2
42460821,42461063,Undirected,418,,2
42460821,598357877,Undirected,419,,2
42460825,42460832,Undirected,420,,1
42460825,588152159,Undirected,421,,1
42460832,42460836,Undirected,422,,1
42460832,1942053193,Undirected,423,,1
42460836,42484700,Undirected,424,,1
42460836,42460839,Undirected,425,,1
42460839,42511460,Undirected,426,,1
42460839,42460843,Undirected,427,,1
42460843,42484695,Undirected,428,,1
42460843,42460846,Undirected,429,,1
42460846,42460854,Undirected,430,,1
42460846,42484689,Undirected,431,,2
42460846,42501936,Undirected,432,,2
42460854,42484686,Undirected,433,,2
42460854,42460856,Undirected,434,,2
42460856,42460864,Undirected,435,,2
42460864,42490646,Undirected,438,,1
42460864,42460867,Undirected,439,,2
42460867,42490650,Undirected,440,,2
42460867,42460870,Undirected,441,,2
42460870,42460872,Undirected,444,,2
42460872,42460215,Undirected,445,,1
42460872,42473404,Undirected,446,,2
42460872,42460873,Undirected,447,,2
42460873,42483834,Undirected,449,,1
42460873,42460876,Undirected,451,,2
42460876,42526002,Undirected,453,,2
42460876,42460879,Undirected,455,,2
42460879,42460882,Undirected,457,,2
42460879,42460218,Undirected,458,,1
42460882,42526009,Undirected,459,,1
42460882,42460886,Undirected,460,,2
42460886,42460221,Undirected,462,,1
42460886,42460889,Undirected,464,,2
42460889,42468082,Undirected,465,,1
42460889,42460893,Undirected,467,,2
42460893,42460894,Undirected,469,,2
42460893,42460223,Undirected,470,,1
42460894,42464653,Undirected,472,,2
42460894,42468086,Undirected,473,,2
42460894,42460896,Undirected,474,,2
42460896,42506783,Undirected,475,,1
42460896,42460897,Undirected,476,,2
42460897,42460898,Undirected,478,,2
42460897,42480500,Undirected,480,,1
42460898,42519607,Undirected,481,,1
42460898,42460901,Undirected,483,,2
42460901,42492855,Undirected,484,,1
42460901,42460906,Undirected,486,,2
42460906,42466804,Undirected,487,,1
42460906,42460911,Undirected,488,,2
42460911,42460925,Undirected,490,,2
42460911,42526699,Undirected,492,,1
42460925,42473031,Undirected,493,,1
42460925,42460934,Undirected,495,,2
42460934,42533655,Undirected,496,,1
42460934,42460936,Undirected,498,,2
42460936,42473455,Undirected,499,,1
42460936,42460941,Undirected,500,,2
42460941,42460944,Undirected,502,,2
42460941,42533669,Undirected,504,,1
42460944,42460948,Undirected,505,,2
42460944,42473461,Undirected,507,,1
42460948,42460951,Undirected,508,,2
42460948,42490252,Undirected,509,,1
42460951,42473469,Undirected,512,,1
42460951,42460956,Undirected,513,,2
42460956,2620907645,Undirected,514,,2
42460956,42521610,Undirected,515,,1
42460963,42526041,Undirected,517,,2
42460963,11345746207,Undirected,518,,2
42460963,42460966,Undirected,519,,2
42460963,2620907645,Undirected,520,,2
42460966,42473490,Undirected,521,,1
42460966,42460979,Undirected,523,,2
42460979,42486098,Undirected,524,,1
42460979,42460982,Undirected,525,,2
42460982,42473508,Undirected,527,,1
42460982,42460984,Undirected,528,,2
42460984,42460985,Undirected,530,,2
42460984,42519476,Undirected,532,,1
42460985,1955950218,Undirected,533,,2
42460985,42524828,Undirected,535,,2
42460985,42473515,Undirected,536,,2
42460992,42474185,Undirected,537,,1
42460992,42460996,Undirected,538,,2
42460992,1955950218,Undirected,539,,2
42460996,42473523,Undirected,540,,1
42460996,42460999,Undirected,541,,2
42460999,42512951,Undirected,543,,2
42460999,42473526,Undirected,544,,2
42460999,42461003,Undirected,545,,2
42461003,42485524,Undirected,547,,1
42461003,42461007,Undirected,548,,2
42461007,42513450,Undirected,550,,1
42461007,42461010,Undirected,551,,2
42461010,42495374,Undirected,553,,1
42461010,42461014,Undirected,554,,2
42461014,42482778,Undirected,556,,1
42461014,42461018,Undirected,557,,2
42461018,42461020,Undirected,559,,2
42461020,42487360,Undirected,561,,2
42461020,42509542,Undirected,562,,2
