Id,accident_count,street_name
42460821,0,"84th Street, Fort Hamilton Parkway"
42460825,0,Fort Hamilton Parkway
42460832,1,"East 5th Street, Fort Hamilton Parkway"
42460836,2,"East 4th Street, Fort Hamilton Parkway"
42460839,1,"East 3rd Street, Fort Hamilton Parkway"
42460843,4,"East 2nd Street, Fort Hamilton Parkway"
42460846,0,"Fort Hamilton Parkway, McDonald Avenue"
42460854,1,"Caton Avenue, Fort Hamilton Parkway"
42460856,0,Fort Hamilton Parkway
42460864,0,"Bills Place, Fort Hamilton Parkway"
42460867,3,"Chester Avenue, Fort Hamilton Parkway"
42460870,1,Fort Hamilton Parkway
42460872,3,"37th Street, Fort Hamilton Parkway"
42460873,3,"38th Street, Fort Hamilton Parkway"
42460876,4,"39th Street, Fort Hamilton Parkway"
42460879,3,"Fort Hamilton Parkway, 40th Street"
42460882,2,"41st Street, Fort Hamilton Parkway"
42460886,1,"42nd Street, Fort Hamilton Parkway"
42460889,2,"43rd Street, Fort Hamilton Parkway"
42460893,2,"44th Street, Fort Hamilton Parkway"
42460894,0,"New Utrecht Avenue, Fort Hamilton Parkway"
42460896,0,"45th Street, Fort Hamilton Parkway"
42460897,3,"46th Street, Fort Hamilton Parkway"
42460898,1,"47th Street, Fort Hamilton Parkway"
42460901,1,"48th Street, Fort Hamilton Parkway"
42460906,0,"Fort Hamilton Parkway, 49th Street"
42460911,2,"50th Street, Fort Hamilton Parkway"
42460925,3,"51st Street, Fort Hamilton Parkway"
42460934,0,"52nd Street, Fort Hamilton Parkway"
42460936,1,"Fort Hamilton Parkway, 53rd Street"
42460941,0,"54th Street, Fort Hamilton Parkway"
42460944,1,"Fort Hamilton Parkway, 55th Street"
42460948,1,"56th Street, Fort Hamilton Parkway"
42460951,0,"57th Street, Fort Hamilton Parkway"
42460956,1,"58th Street, Fort Hamilton Parkway"
42460963,6,"60th Street, Fort Hamilton Parkway"
42460966,0,"Fort Hamilton Parkway, 61st Street"
42460979,3,"62nd Street, Fort Hamilton Parkway"
42460982,1,"63rd Street, Fort Hamilton Parkway"
42460984,2,"64th Street, Fort Hamilton Parkway"
42460985,7,"65th Street, Fort Hamilton Parkway"
42460992,3,"67th Street, Fort Hamilton Parkway"
42460996,0,"68th Street, Fort Hamilton Parkway"
42460999,1,"Fort Hamilton Parkway, Bay Ridge Avenue"
42461003,0,"Fort Hamilton Parkway, 70th Street"
42461007,1,"71st Street, Fort Hamilton Parkway"
42461010,0,"Fort Hamilton Parkway, 72nd Street"
42461014,2,"73rd Street, Fort Hamilton Parkway"
42461018,1,Fort Hamilton Parkway
42461020,1,"Bay Ridge Parkway, Fort Hamilton Parkway"
42461032,0,Fort Hamilton Parkway
42461034,0,"Fort Hamilton Parkway, 77th Street"
42461040,1,"79th Street, 7th Avenue"
42461041,0,7th Avenue
42461045,0,"Fort Hamilton Parkway, 81st Street"
42461063,2,"Fort Hamilton Parkway, 85th Street"
42461069,4,"86th Street, Fort Hamilton Parkway"
42461071,0,"88th Street, Fort Hamilton Parkway"
42461074,0,"90th Street, Fort Hamilton Parkway"
42461078,6,"92nd Street, Fort Hamilton Parkway"
42461084,1,"94th Street, Fort Hamilton Parkway"
42461089,1,Fort Hamilton Parkway
42461094,0,"97th Street, Fort Hamilton Parkway"
42461098,0,"Marine Avenue, Fort Hamilton Parkway"
42461102,2,"99th Street, Fort Hamilton Parkway"
42461110,1,Fort Hamilton Parkway
42461334,0,"East 13th Street, Shore Parkway"
42461379,0,Brooklyn Bridge
42461394,2,"Cadman Plaza West, Middagh Street"
42461438,2,"Classon Avenue, Flushing Avenue"
42461484,0,Columbia Street
42461490,0,"Williamsburg Street East, Hewes Street"
42461534,0,"5th Avenue, 65th Street"
42461560,1,Columbia Street
42461566,0,Emmons Avenue
42461611,0,Dahlgren Place
42461626,0,Gatling Place
42461767,0,"Voorhies Avenue, Shore Parkway"
42461914,2,Belt Parkway
42461965,0,Thatford Avenue
42461967,0,Park Avenue
42461988,0,"7th Avenue, 72nd Street"
42461992,0,7th Avenue
42462000,0,84th Street
42462018,0,"Dyker Place, 85th Street"
42462185,0,Brooklyn-Queens Expressway
42462219,0,"Plymouth Street, Adams Street"
42462352,0,Rua desconhecida
42462387,1,Avenue Z
42462437,6,"Ridge Boulevard, Wakeman Place"
42462450,1,"3rd Avenue, 65th Street"
42462518,0,2nd Avenue
42462648,3,Shore Parkway Service Road
42462713,11,Rua desconhecida
42462719,3,"East 6th Street, Shore Parkway"
42462744,6,"Cropsey Avenue, Shore Parkway"
42462873,0,Bushwick Avenue
42462875,0,Highland Boulevard
42462879,0,"Plumb 3rd Street, Emmons Avenue"
42462899,3,Emmons Avenue
42462913,0,Emmons Avenue
42462926,5,Shore Parkway
